N	mean	var	loss	bw	B	MaxB	Silence	Bp	out
74	0.804314	0.130947	0.000000	1.518564	122	324	3.876953	23.984375	2
94	4.057491	0.199292	0.387981	2.501929	64	74	1.376953	43.984375	1
89	1.480788	0.121970	0.000000	1.974632	0	386	3.251953	28.984375	2
109	7.205789	0.229928	0.511334	3.490742	68	136	0.751953	48.984375	1
79	0.647622	0.083888	0.000000	1.430258	65	261	4.501953	18.984375	2
99	3.054273	0.303520	0.242272	2.426768	8	11	2.001953	38.984375	1
82	2.041680	0.070057	0.360283	1.312861	330	480	1.064453	21.484375	1
102	2.175611	0.260012	0.568452	0.946396	43	230	3.564453	41.484375	1
72	0.617091	0.063163	0.000000	0.685908	333	355	2.314453	11.484375	0
92	1.127574	0.142849	0.054671	1.111818	46	105	4.814453	31.484375	1
87	2.348972	0.055828	0.450417	1.272519	235	417	0.439453	16.484375	1
107	2.324257	0.179015	0.416310	1.372133	10	167	2.939453	36.484375	1
77	1.771461	0.105418	0.003882	1.886673	237	292	1.689453	26.484375	0
97	2.032255	0.175804	0.028074	2.255245	13	42	4.189453	46.484375	1
108	1.117472	0.033636	0.355100	0.705146	177	183	4.658203	25.234375	1
88	2.921771	0.194226	0.030252	2.891476	203	433	2.158203	45.234375	1
98	0.827325	0.044609	0.142782	0.742230	41	58	3.408203	15.234375	1
78	3.379889	0.112681	0.240528	2.551565	67	308	0.908203	35.234375	1
103	0.548233	0.052176	0.209491	0.399166	208	246	4.033203	10.234375	1
83	2.281192	0.139469	0.090907	2.091182	171	496	1.533203	30.234375	1
93	1.217212	0.096180	0.037331	1.154452	72	121	2.783203	20.234375	1
73	5.382465	0.063778	0.454831	2.920651	35	371	0.283203	40.234375	1
105	1.566942	0.065349	0.543494	0.699177	62	152	1.845703	17.734375	1
85	1.478507	0.092976	0.000000	2.000471	365	402	4.345703	37.734375	2
95	3.847758	0.103934	0.501067	1.933564	4	27	0.595703	27.734375	1
75	1.958183	0.159460	0.000000	3.004002	182	277	3.095703	47.734375	2
100	1.537514	0.137728	0.412435	0.917395	60	214	2.470703	22.734375	1
80	1.361847	0.173862	0.000000	2.457058	363	464	4.970703	42.734375	2
90	1.242429	0.048478	0.380463	0.775723	2	89	1.220703	12.734375	1
70	1.162091	0.112791	0.000000	2.132675	180	339	3.720703	32.734375	2
90	3.870193	0.048366	0.517737	1.841683	217	253	0.361328	24.609375	1
70	1.907122	0.171532	0.021234	2.810815	1	3	2.861328	44.609375	1
100	1.343072	0.065770	0.499774	0.663343	231	378	1.611328	14.609375	1
80	1.259149	0.098770	0.000000	1.911853	14	128	4.111328	34.609375	2
95	2.302574	0.071465	0.374965	1.391340	311	316	0.986328	19.609375	1
75	1.547566	0.194904	0.000000	2.948159	32	66	3.486328	39.609375	2
105	2.246500	0.102575	0.344777	1.476755	324	441	2.236328	29.609375	1
85	1.685934	0.192409	0.000000	3.312373	45	191	4.736328	49.609375	2
92	0.620851	0.065067	0.173574	0.523377	85	285	3.173828	12.109375	1
72	3.247713	0.151861	0.348270	2.128283	27	35	0.673828	32.109375	1
102	0.977349	0.072780	0.460802	0.512785	20	410	4.423828	22.109375	1
